username,userviewed,like,reviewId
acc1,acc1,0,
acc1,acc3,0,
acc1,acc6,0,
acc1,acc47,1,3398
acc1,acc50,1,3409
acc1,acc70,0,
acc1,acc101,1,
acc1,acc110,0,
acc1,acc151,1,3351
acc1,acc157,1,1460
acc1,acc163,1,2426
acc1,acc216,1,
acc1,acc223,0,
acc1,acc231,1,
acc1,acc235,0,
acc1,acc260,1,
acc1,acc296,0,
acc1,acc316,0,
acc1,acc333,1,
acc1,acc349,0,
acc1,acc356,0,
acc1,acc362,1,
acc1,acc367,0,
acc1,acc423,0,
acc1,acc441,0,
acc1,acc457,1,
acc1,acc480,0,
acc1,acc500,0,
acc1,acc527,1,
acc1,acc543,0,
acc1,acc552,0,
acc1,acc553,1,
acc1,acc590,0,
acc1,acc592,0,
acc1,acc593,0,
acc1,acc596,1,
acc1,acc608,1,4716
acc1,acc648,0,
acc1,acc661,1,992
acc1,acc673,0,
acc1,acc733,0,
acc1,acc736,0,
acc1,acc780,0,
acc1,acc804,0,
acc1,acc919,1,
acc1,acc923,1,
acc1,acc940,1,1712
acc1,acc943,0,
acc1,acc954,1,928
acc1,acc1009,0,
acc1,acc1023,1,
acc1,acc1024,1,4205
acc1,acc1025,1,
acc1,acc1029,1,
acc1,acc1030,0,
acc1,acc1031,1,
acc1,acc1032,1,1256
acc1,acc1042,0,
acc1,acc1049,1,1366
acc1,acc1060,0,
acc1,acc1073,1,2513
acc1,acc1080,1,4466
acc1,acc1089,1,2932
acc1,acc1090,0,
acc1,acc1092,1,3461
acc1,acc1097,1,1327
acc1,acc1127,0,
acc1,acc1136,1,2481
acc1,acc1196,1,
acc1,acc1197,1,2739
acc1,acc1198,1,100
acc1,acc1206,1,
acc1,acc1208,0,
acc1,acc1210,1,3937
acc1,acc1213,1,
acc1,acc1214,0,
acc1,acc1219,0,
acc1,acc1220,1,
acc1,acc1222,1,
acc1,acc1224,1,
acc1,acc1226,1,2202
acc1,acc1240,1,
acc1,acc1256,1,
acc1,acc1258,0,
acc1,acc1265,0,
acc1,acc1270,1,18
acc1,acc1275,1,
acc1,acc1278,1,
acc1,acc1282,1,4775
acc1,acc1291,1,
acc1,acc1298,1,3890
acc1,acc1348,0,
acc1,acc1377,0,
acc1,acc1396,0,
acc1,acc1408,0,
acc1,acc1445,0,
acc1,acc1473,0,
acc1,acc1500,0,
acc1,acc1517,1,
acc1,acc1552,0,
acc1,acc1573,1,
acc1,acc1580,0,
acc1,acc1587,1,
acc1,acc1617,1,
acc1,acc1620,0,
acc1,acc1625,1,
acc1,acc1644,0,
acc1,acc1676,0,
acc1,acc1732,1,506
acc1,acc1777,0,
acc1,acc1793,0,
acc1,acc1804,1,
acc1,acc1805,0,
acc1,acc1920,0,
acc1,acc1927,1,
acc1,acc1954,1,4875
acc1,acc1967,0,
acc1,acc2000,0,
acc1,acc2005,1,
acc1,acc2012,0,
acc1,acc2018,1,
acc1,acc2028,0,
acc1,acc2033,1,
acc1,acc2046,0,
acc1,acc2048,1,3819
acc1,acc2054,0,
acc1,acc2058,1,
acc1,acc2078,1,1492
acc1,acc2090,1,569
acc1,acc2093,0,
acc1,acc2094,1,2570
acc1,acc2096,0,
acc1,acc2099,0,
acc1,acc2105,0,
acc1,acc2115,1,
acc1,acc2116,1,2867
acc1,acc2137,1,
acc1,acc2139,1,
acc1,acc2141,1,3085
acc1,acc2143,0,
acc1,acc2161,1,1613
acc1,acc2174,0,
acc1,acc2193,0,
acc1,acc2253,0,
acc1,acc2268,0,
acc1,acc2273,0,
acc1,acc2291,1,3215
acc1,acc2329,1,
acc1,acc2338,0,
acc1,acc2353,1,1644
acc1,acc2366,0,
acc1,acc2387,1,1114
acc1,acc2389,0,
acc1,acc2395,1,
acc1,acc2406,0,
acc1,acc2414,0,
acc1,acc2427,1,
acc1,acc2450,0,
acc1,acc2459,1,1706
acc1,acc2470,1,
acc1,acc2478,0,
acc1,acc2492,0,
acc1,acc2502,1,499
acc1,acc2528,0,
acc1,acc2529,1,
acc1,acc2542,1,
acc1,acc2571,1,3695
acc1,acc2580,1,
acc1,acc2596,1,2204
acc1,acc2616,0,
acc1,acc2617,0,
acc1,acc2628,0,
acc1,acc2640,0,
acc1,acc2641,1,
acc1,acc2644,0,
acc1,acc2648,0,
acc1,acc2654,1,
acc1,acc2657,0,
acc1,acc2692,1,2021
acc1,acc2700,1,2033
acc1,acc2716,1,
acc1,acc2761,1,2365
acc1,acc2797,0,
acc1,acc2826,0,
acc1,acc2858,1,
acc1,acc2872,1,
acc1,acc2899,1,957
acc1,acc2916,0,
acc1,acc2944,1,
acc1,acc2947,1,
acc1,acc2948,1,4954
acc1,acc2949,1,
acc1,acc2959,1,
acc1,acc2985,0,
acc1,acc2987,1,4705
acc1,acc2991,1,
acc1,acc2993,1,4629
acc1,acc2997,0,
acc1,acc3033,1,3148
acc1,acc3034,1,
acc1,acc3052,1,
acc1,acc3053,1,
acc1,acc3062,0,
acc1,acc3147,1,
acc1,acc3168,0,
acc1,acc3176,0,
acc1,acc3243,0,
acc1,acc3247,0,
acc1,acc3253,1,2212
acc1,acc3273,1,
acc1,acc3386,1,
acc1,acc3439,0,
acc1,acc3440,0,
acc1,acc3441,1,
acc1,acc3448,1,
acc1,acc3450,1,754
acc1,acc3479,0,
acc1,acc3489,0,
acc1,acc3527,0,
acc1,acc3578,1,
acc1,acc3617,0,
acc1,acc3639,0,
acc1,acc3671,1,
acc1,acc3702,1,
acc1,acc3703,1,
acc1,acc3729,1,1
acc1,acc3740,0,
acc1,acc3744,0,
acc1,acc3793,1,
acc1,acc3809,0,
acc1,acc4006,0,
acc1,acc5060,1,3690
acc2,acc318,0,
acc2,acc333,0,
acc2,acc1704,0,
acc2,acc3578,0,
acc2,acc6874,0,
acc2,acc8798,0,
acc2,acc46970,0,
acc2,acc48516,0,
acc2,acc58559,0,
acc3,acc31,0,
acc3,acc527,0,
acc3,acc647,0,
acc3,acc688,0,
acc3,acc720,0,
acc3,acc849,1,
acc3,acc914,0,
acc3,acc1093,0,
acc3,acc1124,0,
acc3,acc1263,0,
acc3,acc1272,0,
acc3,acc1275,0,
acc3,acc1302,0,
acc3,acc1371,0,
acc3,acc1587,0,
acc3,acc2018,0,
acc3,acc2080,0,
acc3,acc2090,0,
