reviewId,rating,comment
0,5,good guy number 0
1,2,good guy number 1
2,5,good guy number 2
3,1,good guy number 3
4,2,good guy number 4
5,1,good guy number 5
6,2,good guy number 6
7,4,good guy number 7
8,1,good guy number 8
9,2,good guy number 9
10,3,good guy number 10
11,2,good guy number 11
12,2,good guy number 12
13,4,good guy number 13
14,5,good guy number 14
15,5,good guy number 15
16,2,good guy number 16
17,5,good guy number 17
18,2,good guy number 18
19,4,good guy number 19
20,5,good guy number 20
21,1,good guy number 21
22,4,good guy number 22
23,3,good guy number 23
24,3,good guy number 24
25,3,good guy number 25
26,3,good guy number 26
27,5,good guy number 27
28,2,good guy number 28
29,1,good guy number 29
30,5,good guy number 30
31,3,good guy number 31
32,4,good guy number 32
33,1,good guy number 33
34,4,good guy number 34
35,2,good guy number 35
36,1,good guy number 36
37,4,good guy number 37
38,1,good guy number 38
39,1,good guy number 39
40,1,good guy number 40
41,2,good guy number 41
42,1,good guy number 42
43,2,good guy number 43
44,2,good guy number 44
45,2,good guy number 45
46,5,good guy number 46
47,4,good guy number 47
48,5,good guy number 48
49,1,good guy number 49
50,5,good guy number 50
51,5,good guy number 51
52,3,good guy number 52
53,3,good guy number 53
54,3,good guy number 54
55,1,good guy number 55
56,5,good guy number 56
57,1,good guy number 57
58,2,good guy number 58
59,4,good guy number 59
60,3,good guy number 60
61,2,good guy number 61
62,1,good guy number 62
63,3,good guy number 63
64,4,good guy number 64
65,5,good guy number 65
66,2,good guy number 66
67,5,good guy number 67
68,1,good guy number 68
69,4,good guy number 69
70,1,good guy number 70
71,4,good guy number 71
72,1,good guy number 72
73,5,good guy number 73
74,3,good guy number 74
75,1,good guy number 75
76,1,good guy number 76
77,3,good guy number 77
78,5,good guy number 78
79,1,good guy number 79
80,4,good guy number 80
81,2,good guy number 81
82,2,good guy number 82
83,5,good guy number 83
84,5,good guy number 84
85,2,good guy number 85
86,1,good guy number 86
87,4,good guy number 87
88,4,good guy number 88
89,5,good guy number 89
90,3,good guy number 90
91,2,good guy number 91
92,4,good guy number 92
93,4,good guy number 93
94,2,good guy number 94
95,3,good guy number 95
96,5,good guy number 96
97,1,good guy number 97
98,3,good guy number 98
99,1,good guy number 99
100,5,good guy number 100
101,5,good guy number 101
102,4,good guy number 102
103,3,good guy number 103
104,1,good guy number 104
105,5,good guy number 105
106,4,good guy number 106
107,3,good guy number 107
108,1,good guy number 108
109,2,good guy number 109
110,4,good guy number 110
111,4,good guy number 111
112,5,good guy number 112
113,1,good guy number 113
114,3,good guy number 114
115,4,good guy number 115
116,4,good guy number 116
117,2,good guy number 117
118,5,good guy number 118
119,5,good guy number 119
120,3,good guy number 120
121,2,good guy number 121
122,3,good guy number 122
123,4,good guy number 123
124,4,good guy number 124
125,5,good guy number 125
126,3,good guy number 126
127,2,good guy number 127
128,1,good guy number 128
129,2,good guy number 129
130,3,good guy number 130
131,3,good guy number 131
132,2,good guy number 132
133,1,good guy number 133
134,1,good guy number 134
135,3,good guy number 135
136,5,good guy number 136
137,5,good guy number 137
138,4,good guy number 138
139,3,good guy number 139
140,3,good guy number 140
141,3,good guy number 141
142,4,good guy number 142
143,1,good guy number 143
144,4,good guy number 144
145,1,good guy number 145
146,1,good guy number 146
147,3,good guy number 147
148,3,good guy number 148
149,1,good guy number 149
150,2,good guy number 150
151,5,good guy number 151
152,3,good guy number 152
153,2,good guy number 153
154,2,good guy number 154
155,3,good guy number 155
156,4,good guy number 156
157,2,good guy number 157
158,1,good guy number 158
159,3,good guy number 159
160,1,good guy number 160
161,4,good guy number 161
162,3,good guy number 162
163,5,good guy number 163
164,3,good guy number 164
165,4,good guy number 165
166,3,good guy number 166
167,4,good guy number 167
168,1,good guy number 168
169,1,good guy number 169
170,3,good guy number 170
171,3,good guy number 171
172,5,good guy number 172
173,3,good guy number 173
174,2,good guy number 174
175,2,good guy number 175
176,3,good guy number 176
177,4,good guy number 177
178,1,good guy number 178
179,5,good guy number 179
180,3,good guy number 180
181,3,good guy number 181
182,3,good guy number 182
183,1,good guy number 183
184,2,good guy number 184
185,4,good guy number 185
186,3,good guy number 186
187,4,good guy number 187
188,3,good guy number 188
189,3,good guy number 189
190,3,good guy number 190
191,5,good guy number 191
192,2,good guy number 192
193,5,good guy number 193
194,4,good guy number 194
195,1,good guy number 195
196,2,good guy number 196
197,4,good guy number 197
198,5,good guy number 198
199,4,good guy number 199
200,4,good guy number 200
201,2,good guy number 201
202,3,good guy number 202
203,3,good guy number 203
204,1,good guy number 204
205,3,good guy number 205
206,2,good guy number 206
207,3,good guy number 207
208,4,good guy number 208
209,4,good guy number 209
210,3,good guy number 210
211,3,good guy number 211
212,5,good guy number 212
213,3,good guy number 213
214,5,good guy number 214
215,1,good guy number 215
216,3,good guy number 216
217,1,good guy number 217
218,4,good guy number 218
219,5,good guy number 219
220,5,good guy number 220
221,3,good guy number 221
222,4,good guy number 222
223,4,good guy number 223
224,3,good guy number 224
225,5,good guy number 225
226,5,good guy number 226
227,3,good guy number 227
228,4,good guy number 228
229,2,good guy number 229
230,5,good guy number 230
231,1,good guy number 231
232,4,good guy number 232
233,2,good guy number 233
234,3,good guy number 234
235,5,good guy number 235
236,1,good guy number 236
237,5,good guy number 237
238,5,good guy number 238
239,2,good guy number 239
240,5,good guy number 240
241,4,good guy number 241
242,3,good guy number 242
243,4,good guy number 243
244,2,good guy number 244
245,2,good guy number 245
246,2,good guy number 246
247,3,good guy number 247
248,1,good guy number 248
249,2,good guy number 249
250,1,good guy number 250
251,4,good guy number 251
252,1,good guy number 252
253,3,good guy number 253
254,1,good guy number 254
255,5,good guy number 255
256,4,good guy number 256
257,2,good guy number 257
258,4,good guy number 258
259,4,good guy number 259
260,4,good guy number 260
261,3,good guy number 261
262,1,good guy number 262
263,1,good guy number 263
264,5,good guy number 264
265,5,good guy number 265
266,4,good guy number 266
267,1,good guy number 267
268,1,good guy number 268
269,3,good guy number 269
270,2,good guy number 270
271,3,good guy number 271
272,4,good guy number 272
273,2,good guy number 273
274,1,good guy number 274
275,2,good guy number 275
276,1,good guy number 276
277,4,good guy number 277
278,4,good guy number 278
279,1,good guy number 279
280,3,good guy number 280
281,5,good guy number 281
282,2,good guy number 282
283,4,good guy number 283
284,4,good guy number 284
285,3,good guy number 285
286,2,good guy number 286
287,1,good guy number 287
288,1,good guy number 288
289,3,good guy number 289
290,5,good guy number 290
291,3,good guy number 291
292,3,good guy number 292
293,5,good guy number 293
294,3,good guy number 294
295,2,good guy number 295
296,4,good guy number 296
297,3,good guy number 297
298,4,good guy number 298
299,1,good guy number 299
300,4,good guy number 300
301,4,good guy number 301
302,3,good guy number 302
303,4,good guy number 303
304,2,good guy number 304
305,5,good guy number 305
306,2,good guy number 306
307,5,good guy number 307
308,1,good guy number 308
309,2,good guy number 309
310,2,good guy number 310
311,2,good guy number 311
312,1,good guy number 312
313,5,good guy number 313
314,5,good guy number 314
315,5,good guy number 315
316,2,good guy number 316
317,5,good guy number 317
318,1,good guy number 318
319,3,good guy number 319
320,2,good guy number 320
321,3,good guy number 321
322,3,good guy number 322
323,5,good guy number 323
324,4,good guy number 324
325,3,good guy number 325
326,1,good guy number 326
327,5,good guy number 327
328,2,good guy number 328
329,2,good guy number 329
330,1,good guy number 330
331,5,good guy number 331
332,2,good guy number 332
333,2,good guy number 333
334,2,good guy number 334
335,5,good guy number 335
336,2,good guy number 336
337,2,good guy number 337
338,5,good guy number 338
339,1,good guy number 339
340,2,good guy number 340
341,4,good guy number 341
342,3,good guy number 342
343,5,good guy number 343
344,2,good guy number 344
345,4,good guy number 345
346,4,good guy number 346
347,4,good guy number 347
348,4,good guy number 348
349,1,good guy number 349
350,1,good guy number 350
351,5,good guy number 351
352,4,good guy number 352
353,4,good guy number 353
354,1,good guy number 354
355,5,good guy number 355
356,1,good guy number 356
357,1,good guy number 357
358,4,good guy number 358
